Candidateidentifier,Percentage.of.Vote.won.x
2018AZSinema,50
2018AZMcSally,47.6
2018CAFeinstein,54.2
2018CAde Leon,45.8
2018CTMurphy,59.5
2018CTCorey,39.4
2018DECarper,60
2018DEArlett,37.8
2018DEFrost,1.2
2018DETheodoropoulos,1.1
2018FLNelson,49.9
2018FLScott,50.1
2018HIHirono,71.2
2018HICurtis,28.8
2018INDonnelly,45
2018INBraun,50.9
2018INBrenton,4
2018MERingelstein,10.4
2018MEBrakey,35.2
2018MEKing,54.3
2018MDCardin,64.9
2018MDCampbell,30.3
2018MDSimon,3.7
2018MDVohra,1
2018MAWarren,60.4
2018MADiehl,36.2
2018MIStabenow,52.3
2018MIJames,45.8
2018MNKlobuchar,60.3
2018MNNewberger,36.2
2018MNSchuller,2.5
2018MNOverby,0.9
2018MSBaria,39.5
2018MSWicker,58.5
2018MSBedwell,1.4
2018MSO'Hara,0.6
2018MOMcCaskill,45.6
2018MOHawley,51.4
2018MOCampbell,1.1
2018MOCrain,0.5
2018MOO'Dear,1.4
2018MTTester,50.3
2018MTRosendale,46.8
2018MTBreckenridge,2.9
2018NERaybould,38.6
2018NEFischer,57.7
2018NVRosen,50.4
2018NVHeller,45.4
2018NVMichaels,1
2018NVHagan,0.9
2018NVBakari,0.7
2018NJMenendez,54
2018NJHugin,42.8
2018NJSabrin,0.7
2018NJHoffman,0.8
2018NMHeinrich,54.1
2018NMRich,30.5
2018NMJohnson,15.4
2018NYGillibrand,67
2018NYFarley,33
2018NDHeitkamp,45.5
2018NDCramer,55.5
2018OHBrown,53.4
2018OHRenacci,46.6
2018PACasey,55.7
2018PABarletta,42.6
2018RIWhitehouse,61.6
2018RIFlanders,38.4
2018TNBredesen,43.9
2018TNBlackburn,54.7
2018TXO'Rourke,48.3
2018TXCruz,50.9
2018UTWilson,30.9
2018UTRomney,62.6
2018VTZupan,27.5
2018VTSanders,67.4
2018VAStewart,41.1
2018VAWaters,1.8
2018VAKaine,57.1
2018WACantwell,58.4
2018WAHutchison,41.6
2018WVManchin,49.6
2018WVMorrisey,46.3
2018WVHollen,4.1
2018WIBaldwin,55.4
2018WIVukmir,44.6
2018WYTrauner,30.1
2018WYBarrasso,67.1
2018WYPorambo,2.8
