cycle,state,Candidateidentifier,Percentage.of.Vote.won.x,samplesize,daysLeft,numberSupport,pollster,Republican,Democrat,pvi,experienced
1992,California,1992CAHerschensohn,43.00286776,700,-7,280.0,KCAL-TV,1,0,2.0895084930000003,0
1992,Illinois,1992ILWilliamson,43.05715208,1000,-17,320.0,Market Shares Corp.,1,0,2.845729828,0
1992,Ohio,1992OHGlenn,50.88300143,1023,-29,562.0,Gordon S. Black Corp.,0,1,-1.573305433,1
1992,North Carolina,1992NCFaircloth,50.34704726,854,-9,324.0,Raleigh News & Observer,1,0,-4.257897135,0
1992,Missouri,1992MORothman-Serot,44.9257195,800,-66,328.0,Hickman Analytics,0,1,1.90181394,0
1992,Arkansas,1992ARBumpers,60.17719411,826,-169,528.0,Mason-Dixon Polling & Research Inc.,0,1,-3.2953852789999996,1
1992,South Carolina,1992SCHartnett,46.94655713,800,-15,264.0,Greenville News,1,0,-8.172851311,0
1992,Indiana,1992INHogsett,40.70441426,806,-58,225.0,Mason-Dixon Polling & Research Inc.,0,1,-6.224373723999999,0
1992,Arizona,1992AZMecham,10.51777395,575,-31,63.0,Behavior Research Center (Rocky Mountain),0,0,-6.847567197999999,0
1992,Connecticut,1992CTDodd,58.81013574,630,-14,327.0,Quinnipiac University,0,1,1.313478054,1
1992,North Dakota,1992NDSydness,38.87457765,410,-40,118.0,KTHI-TV,1,0,-2.697757213,0
1992,Washington,1992WAChandler,46.00811609,601,-24,240.0,Evans/McDonough,1,0,4.7052270510000005,0
1992,Pennsylvania,1992PASpecter,49.10295039,800,-142,400.0,Mason-Dixon Polling & Research Inc.,1,0,2.732595359,1
1992,Florida,1992FLGrant,34.59098521,813,-334,154.0,Mason-Dixon Polling & Research Inc.,1,0,-7.351546057,0
1992,Maryland,1992MDKeyes,28.97745875,819,-256,294.0,Mason-Dixon Polling & Research Inc.,1,0,2.43309313,0
1992,Pennsylvania,1992PAYeakel,46.33019671,600,-30,282.0,Hickman Analytics,0,1,2.732595359,0
1992,Arizona,1992AZSargent,31.57054262,600,-35,162.0,Public Opinion Strategies,0,1,-6.847567197999999,0
1992,California,1992CASeymour,37.96344771,1330,-54,492.0,Los Angeles Times,1,0,2.0895084930000003,0
1992,Colorado,1992COConsidine,42.70422582,375,-37,153.0,Hill Research Consultants,1,0,-0.057461639,0
1992,Kansas,1992KSO'Dell,31.02897873,835,-43,200.0,Kansas City Star,0,1,-2.8277762639999997,0
1992,Missouri,1992MOBond,51.88704523,800,-22,384.0,Kansas City Star,1,0,1.90181394,1
1992,North Carolina,1992NCFaircloth,50.34704726,813,-25,276.0,Mason-Dixon Polling & Research Inc.,1,0,-4.257897135,0
1992,Ohio,1992OHDeWine,42.22424185,800,-142,368.0,Tarrance Group,1,0,-1.573305433,1
1992,Ohio,1992OHGlenn,50.88300143,669,-56,388.0,University of Akron,0,1,-1.573305433,1
1992,Arizona,1992AZSargent,31.57054262,575,-31,143.0,Behavior Research Center (Rocky Mountain),0,1,-6.847567197999999,0
1992,North Dakota,1992NDSydness,38.87457765,474,-211,156.0,University of North Dakota,1,0,-2.697757213,0
1992,Pennsylvania,1992PASpecter,49.10295039,818,-47,441.0,Mason-Dixon Polling & Research Inc.,1,0,2.732595359,1
1992,North Dakota,1992NDSydness,38.87457765,558,-39,122.0,Precision Marketing,1,0,-2.697757213,0
1992,Kansas,1992KSDole,62.69678023,835,-43,459.0,Kansas City Star,1,0,-2.8277762639999997,1
1992,Oregon,1992ORPackwood,52.13937456,612,-12,306.0,T-H Research,1,0,6.283532856,1
1992,Florida,1992FLGrant,34.59098521,804,-54,201.0,Mason-Dixon Polling & Research Inc.,1,0,-7.351546057,0
1992,California,1992CASeymour,37.96344771,475,-295,180.0,Field Research Corp. (Field Poll),1,0,2.0895084930000003,0
1992,Ohio,1992OHDeWine,42.22424185,544,-228,152.0,University of Cincinnati (Ohio Poll),1,0,-1.573305433,1
1992,Alabama,1992ALShelby,64.81801548,822,-164,501.0,Mason-Dixon Polling & Research Inc.,0,1,-5.851368454,1
1992,Washington,1992WAChandler,46.00811609,600,-8,258.0,Evans/McDonough,1,0,4.7052270510000005,0
1992,Colorado,1992COCampbell,51.77676322,504,-193,241.0,Talmey-Drake Research & Strategy Inc.,0,1,-0.057461639,1
1992,Arkansas,1992ARBumpers,60.17719411,802,-61,489.0,Mason-Dixon Polling & Research Inc.,0,1,-3.2953852789999996,1
1992,California,1992CABoxer,47.90378958,700,-5,357.0,Greenberg Quinlan Rosner (Democracy Corps),0,1,2.0895084930000003,1
1992,Georgia,1992GAFowler,49.35258706,600,-64,276.0,"North Star Opinion Research/Ayres, McHenry & Associates",0,1,-6.303308952,1
1992,Alabama,1992ALShelby,64.81801548,813,-92,504.0,Mason-Dixon Polling & Research Inc.,0,1,-5.851368454,1
1992,Alabama,1992ALShelby,64.81801548,829,-42,513.0,Mason-Dixon Polling & Research Inc.,0,1,-5.851368454,1
1992,Utah,1992UTBennett,55.38307587,412,-80,193.0,Penn Schoen Berland,1,0,-13.4875715,0
1992,New York,1992NYD'Amato,49.03358598,835,-57,292.0,Mason-Dixon Polling & Research Inc.,1,0,5.965985317,1
1992,Arizona,1992AZMecham,10.51777395,600,-35,60.0,Public Opinion Strategies,0,0,-6.847567197999999,0
1992,Indiana,1992INHogsett,40.70441426,825,-40,148.0,Indiana University,0,1,-6.224373723999999,0
1992,Oregon,1992ORAuCoin,46.49968424,600,-12,228.0,Griggs-Anderson Research,0,1,6.283532856,0
1992,North Carolina,1992NCFaircloth,50.34704726,651,-134,214.0,Charlotte Observer,1,0,-4.257897135,0
1992,Missouri,1992MORothman-Serot,44.9257195,817,-50,269.0,Mason-Dixon Polling & Research Inc.,0,1,1.90181394,0
1992,Colorado,1992COConsidine,42.70422582,504,-193,131.0,Talmey-Drake Research & Strategy Inc.,1,0,-0.057461639,0
1992,South Carolina,1992SCHartnett,46.94655713,618,-8,253.0,KPC Research,1,0,-8.172851311,0
1992,Indiana,1992INCoats,57.33730181,533,-52,277.0,Fort Wayne Journal-Gazette,1,0,-6.224373723999999,1
1992,Colorado,1992COCampbell,51.77676322,400,-14,176.0,Talmey-Drake Research & Strategy Inc.,0,1,-0.057461639,1
1992,Arizona,1992AZSargent,31.57054262,518,-45,170.0,Arizona State University,0,1,-6.847567197999999,0
1992,North Carolina,1992NCSanford,46.31751304,813,-25,390.0,Mason-Dixon Polling & Research Inc.,0,1,-4.257897135,0
1992,Illinois,1992ILWilliamson,43.05715208,1121,-13,381.0,University of Illinois at Chicago,1,0,2.845729828,0
1992,California,1992CAHerschensohn,43.00286776,1330,-54,438.0,Los Angeles Times,1,0,2.0895084930000003,0
1992,Washington,1992WAMurray,53.99188391,451,-45,193.0,Elway Research,0,1,4.7052270510000005,1
1992,South Carolina,1992SCHollings,50.06870331,808,-46,444.0,Mason-Dixon Polling & Research Inc.,0,1,-8.172851311,1
1992,Oregon,1992ORPackwood,52.13937456,602,-325,198.0,Oregon Monitor,1,0,6.283532856,1
1992,Maryland,1992MDKeyes,28.97745875,818,-277,261.0,Mason-Dixon Polling & Research Inc.,1,0,2.43309313,0
1992,Idaho,1992IDKempthorne,56.52153924,816,-39,375.0,Mason-Dixon Polling & Research Inc.,1,0,-9.39061401,1
1992,New York,1992NYD'Amato,49.03358598,790,-78,276.0,Zogby Interactive/JZ Analytics,1,0,5.965985317,1
1992,New York,1992NYD'Amato,49.03358598,824,-105,304.0,Mason-Dixon Polling & Research Inc.,1,0,5.965985317,1
1992,Oklahoma,1992OKLewis,38.19076144,500,-18,155.0,Cole Hargrave Snodgrass & Associates,0,1,-4.493088817,0
1992,Florida,1992FLGrant,34.59098521,826,-158,206.0,Mason-Dixon Polling & Research Inc.,1,0,-7.351546057,0
1992,Indiana,1992INCoats,57.33730181,815,-16,448.0,Mason-Dixon Polling & Research Inc.,1,0,-6.224373723999999,1
1992,North Dakota,1992NDDorgan,59.00406965,474,-211,265.0,University of North Dakota,0,1,-2.697757213,1
1992,Connecticut,1992CTJohnson,38.11771636,500,-131,60.0,University of Connecticut,1,0,1.313478054,0
1992,Florida,1992FLGraham,65.40458135,813,-334,536.0,Mason-Dixon Polling & Research Inc.,0,1,-7.351546057,1
1992,Missouri,1992MORothman-Serot,44.9257195,800,-43,240.0,Kansas City Star,0,1,1.90181394,0
1992,North Dakota,1992NDConrad,63.22048117,502,-28,341.0,University of North Dakota,0,1,-2.697757213,1
1992,Missouri,1992MORothman-Serot,44.9257195,500,-81,185.0,Mellman Group,0,1,1.90181394,0
1992,Ohio,1992OHDeWine,42.22424185,931,-6,437.0,University of Cincinnati (Ohio Poll),1,0,-1.573305433,1
1992,Idaho,1992IDStallings,43.47469918,604,-34,253.0,Rich Smith & Rich,0,1,-9.39061401,0
1992,Oregon,1992ORPackwood,52.13937456,600,-225,216.0,Moore Information,1,0,6.283532856,1
1992,New Hampshire,1992NHGregg,48.14427601,600,-7,222.0,American Research Group,1,0,-9.337984622999999,1
1992,New York,1992NYD'Amato,49.03358598,583,-40,250.0,Marist College,1,0,5.965985317,1
1992,Arizona,1992AZMecham,10.51777395,500,-44,70.0,Behavior Research Center (Rocky Mountain),0,0,-6.847567197999999,0
1992,Pennsylvania,1992PAYeakel,46.33019671,1400,-6,532.0,Public Opinion Strategies,0,1,2.732595359,0
1992,Alaska,1992AKSmith,38.40618404,626,-45,200.0,Mason-Dixon Polling & Research Inc.,0,1,-8.265369492,0
1992,Hawaii,1992HIInouye,57.26911253,413,-215,194.0,Mason-Dixon Polling & Research Inc.,0,1,8.705312057999999,1
1992,Indiana,1992INHogsett,40.70441426,445,-330,146.0,Bill Schreiber,0,1,-6.224373723999999,0
1992,Georgia,1992GACoverdell,50.64741294,819,-11,286.0,Mason-Dixon Polling & Research Inc.,1,0,-6.303308952,1
1992,North Carolina,1992NCSanford,46.31751304,400,-18,136.0,Charlotte Observer,0,1,-4.257897135,0
1992,Illinois,1992ILWilliamson,43.05715208,775,-31,224.0,Market Shares Corp.,1,0,2.845729828,0
1992,Washington,1992WAMurray,53.99188391,403,-20,153.0,Elway Research,0,1,4.7052270510000005,1
1992,Illinois,1992ILWilliamson,43.05715208,1150,-20,379.0,CBS News/New York Times,1,0,2.845729828,0
1992,Maryland,1992MDKeyes,28.97745875,802,-67,232.0,Mason-Dixon Polling & Research Inc.,1,0,2.43309313,0
1992,Ohio,1992OHDeWine,42.22424185,500,-37,220.0,Public Opinion Strategies,1,0,-1.573305433,1
1992,Ohio,1992OHDeWine,42.22424185,691,-14,234.0,University of Akron,1,0,-1.573305433,1
1992,Alabama,1992ALShelby,64.81801548,571,-22,393.0,Birmingham Post-Herald,0,1,-5.851368454,1
1992,South Carolina,1992SCHollings,50.06870331,618,-8,339.0,KPC Research,0,1,-8.172851311,1
1992,Idaho,1992IDStallings,43.47469918,816,-39,310.0,Mason-Dixon Polling & Research Inc.,0,1,-9.39061401,0
1992,North Dakota,1992NDDorgan,59.00406965,504,-155,297.0,University of North Dakota,0,1,-2.697757213,1
1992,Georgia,1992GACoverdell,50.64741294,812,-49,251.0,Mason-Dixon Polling & Research Inc.,1,0,-6.303308952,1
1992,Georgia,1992GACoverdell,50.64741294,600,-64,192.0,"North Star Opinion Research/Ayres, McHenry & Associates",1,0,-6.303308952,1
1992,Florida,1992FLGraham,65.40458135,804,-54,442.0,Mason-Dixon Polling & Research Inc.,0,1,-7.351546057,1
1992,Oregon,1992ORAuCoin,46.49968424,600,-36,240.0,Griggs-Anderson Research,0,1,6.283532856,0
