cycle,state,pollster,samplesize,candidate_name,Candidateidentifier,daysLeft,numberSupport,Democrat,Republican,Percentage.of.Vote.won.x,pvi,experienced
2018,Michigan,Mitchell Research & Communications,827,Debbie Stabenow,2018MIStabenow,-2,405.0,1,0,52.3,0.110617903,1.0
2018,Michigan,Mitchell Research & Communications,827,John James,2018MIJames,-2,380.0,0,1,45.8,0.110617903,0.0
2018,Florida,Trafalgar Group,1484,Bill Nelson,2018FLNelson,-3,701.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Trafalgar Group,1484,Rick Scott,2018FLScott,-3,727.0,0,1,50.1,-1.790610365,1.0
2018,Arizona,Trafalgar Group,1217,Kyrsten Sinema,2018AZSinema,-3,551.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Trafalgar Group,1217,Martha McSally,2018AZMcSally,-3,576.0,0,1,47.6,-4.106799945,1.0
2018,Texas,Trafalgar Group,2135,Beto O'Rourke,2018TXO'Rourke,-4,922.0,1,0,48.3,-7.023984994,1.0
2018,Texas,Trafalgar Group,2135,Ted Cruz,2018TXCruz,-4,1112.0,0,1,50.9,-7.023984994,1.0
2018,Arizona,Harris Insights & Analytics,600,Kyrsten Sinema,2018AZSinema,-4,291.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Harris Insights & Analytics,600,Martha McSally,2018AZMcSally,-4,264.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Harris Insights & Analytics,600,Bill Nelson,2018FLNelson,-4,285.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Harris Insights & Analytics,600,Rick Scott,2018FLScott,-4,289.0,0,1,50.1,-1.790610365,1.0
2018,Nevada,Harris Insights & Analytics,600,Jacky Rosen,2018NVRosen,-4,281.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Harris Insights & Analytics,600,Dean Heller,2018NVHeller,-4,267.0,0,1,45.4,0.039999588,1.0
2018,Indiana,Harris Insights & Analytics,600,Joe Donnelly,2018INDonnelly,-4,250.0,1,0,45.0,-8.112056678,1.0
2018,Indiana,Harris Insights & Analytics,600,Mike Braun,2018INBraun,-4,257.0,0,1,50.9,-8.112056678,1.0
2018,Missouri,Harris Insights & Analytics,600,Claire McCaskill,2018MOMcCaskill,-4,268.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Harris Insights & Analytics,600,Josh Hawley,2018MOHawley,-4,273.0,0,1,51.4,-6.881433406,1.0
2018,Michigan,Trafalgar Group,1817,Debbie Stabenow,2018MIStabenow,-5,959.0,1,0,52.3,0.110617903,1.0
2018,Michigan,Trafalgar Group,1817,John James,2018MIJames,-5,795.0,0,1,45.8,0.110617903,0.0
2018,Montana,Trafalgar Group,953,Jon Tester,2018MTTester,-5,477.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Trafalgar Group,953,Matt Rosendale,2018MTRosendale,-5,466.0,0,1,46.8,-8.652566712,1.0
2018,Montana,Harris Insights & Analytics,500,Jon Tester,2018MTTester,-6,249.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Harris Insights & Analytics,500,Matt Rosendale,2018MTRosendale,-6,210.0,0,1,46.8,-8.652566712,1.0
2018,Michigan,Mitchell Research & Communications,701,Debbie Stabenow,2018MIStabenow,-3,371.0,1,0,52.3,0.110617903,1.0
2018,Michigan,Mitchell Research & Communications,701,John James,2018MIJames,-3,322.0,0,1,45.8,0.110617903,0.0
2018,Florida,St. Pete Polls,3088,Bill Nelson,2018FLNelson,-4,1540.0,1,0,49.9,-1.790610365,1.0
2018,Florida,St. Pete Polls,3088,Rick Scott,2018FLScott,-4,1426.0,0,1,50.1,-1.790610365,1.0
2018,Pennsylvania,Change Research,1833,Robert P. Casey Jr.,2018PACasey,-5,934.0,1,0,55.7,0.390350973,1.0
2018,Pennsylvania,Change Research,1833,Lou Barletta,2018PABarletta,-5,806.0,0,1,42.6,0.390350973,1.0
2018,Wyoming,Change Research,858,Gary Trauner,2018WYTrauner,-5,265.0,1,0,30.1,-20.207185,0.0
2018,Wyoming,Change Research,858,John Barrasso,2018WYBarrasso,-5,514.0,0,1,67.1,-20.207185,1.0
2018,Montana,Change Research,879,Jon Tester,2018MTTester,-5,404.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Change Research,879,Matt Rosendale,2018MTRosendale,-5,430.0,0,1,46.8,-8.652566712,1.0
2018,New Jersey,Change Research,1006,Robert Menendez,2018NJMenendez,-5,513.0,1,0,54.0,5.440680607000001,1.0
2018,New Jersey,Change Research,1006,Bob Hugin,2018NJHugin,-5,412.0,0,1,42.8,5.440680607000001,0.0
2018,California,Change Research,1108,Dianne Feinstein,2018CAFeinstein,-5,465.0,1,0,54.2,10.76322564,1.0
2018,California,Change Research,1108,Kevin de León,2018CAde Leon,-5,354.0,1,0,45.8,10.76322564,1.0
2018,Minnesota,Change Research,953,Amy Klobuchar,2018MNKlobuchar,-5,524.0,1,0,60.3,1.11430914,1.0
2018,Minnesota,Change Research,953,Jim Newberger,2018MNNewberger,-5,381.0,0,1,36.2,1.11430914,1.0
2018,Arizona,Harris Insights & Analytics,600,Kyrsten Sinema,2018AZSinema,-5,283.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Harris Insights & Analytics,600,Martha McSally,2018AZMcSally,-5,278.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Harris Insights & Analytics,600,Bill Nelson,2018FLNelson,-5,271.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Harris Insights & Analytics,600,Rick Scott,2018FLScott,-5,294.0,0,1,50.1,-1.790610365,1.0
2018,Nevada,Harris Insights & Analytics,600,Jacky Rosen,2018NVRosen,-5,274.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Harris Insights & Analytics,600,Dean Heller,2018NVHeller,-5,277.0,0,1,45.4,0.039999588,1.0
2018,Mississippi,Change Research,1003,David Baria,2018MSBaria,-5,401.0,1,0,39.5,-7.954178646,1.0
2018,Mississippi,Change Research,1003,Roger F. Wicker,2018MSWicker,-5,481.0,0,1,58.5,-7.954178646,1.0
2018,Indiana,Harris Insights & Analytics,600,Joe Donnelly,2018INDonnelly,-5,259.0,1,0,45.0,-8.112056678,1.0
2018,Indiana,Harris Insights & Analytics,600,Mike Braun,2018INBraun,-5,243.0,0,1,50.9,-8.112056678,1.0
2018,Missouri,Harris Insights & Analytics,600,Claire McCaskill,2018MOMcCaskill,-5,266.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Harris Insights & Analytics,600,Josh Hawley,2018MOHawley,-5,280.0,0,1,51.4,-6.881433406,1.0
2018,Michigan,Change Research,880,Debbie Stabenow,2018MIStabenow,-5,431.0,1,0,52.3,0.110617903,1.0
2018,Michigan,Change Research,880,John James,2018MIJames,-5,413.0,0,1,45.8,0.110617903,0.0
2018,Ohio,Change Research,923,Sherrod Brown,2018OHBrown,-5,489.0,1,0,53.4,-4.171365879,1.0
2018,Ohio,Change Research,923,Jim Renacci,2018OHRenacci,-5,396.0,0,1,46.6,-4.171365879,1.0
2018,Nevada,Emerson College,1197,Jacky Rosen,2018NVRosen,-6,587.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Emerson College,1197,Dean Heller,2018NVHeller,-6,533.0,0,1,45.4,0.039999588,1.0
2018,Montana,Harris Insights & Analytics,500,Jon Tester,2018MTTester,-7,242.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Harris Insights & Analytics,500,Matt Rosendale,2018MTRosendale,-7,215.0,0,1,46.8,-8.652566712,1.0
2018,Missouri,Trafalgar Group,1791,Claire McCaskill,2018MOMcCaskill,-9,795.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Trafalgar Group,1791,Josh Hawley,2018MOHawley,-9,865.0,0,1,51.4,-6.881433406,1.0
2018,Florida,Quinnipiac University,1142,Bill Nelson,2018FLNelson,-9,582.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Quinnipiac University,1142,Rick Scott,2018FLScott,-9,502.0,0,1,50.1,-1.790610365,1.0
2018,New Jersey,Quinnipiac University,1115,Robert Menendez,2018NJMenendez,-9,613.0,1,0,54.0,5.440680607000001,1.0
2018,New Jersey,Quinnipiac University,1115,Bob Hugin,2018NJHugin,-9,446.0,0,1,42.8,5.440680607000001,0.0
2018,Arizona,OH Predictive Insights,631,Kyrsten Sinema,2018AZSinema,-5,302.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,OH Predictive Insights,631,Martha McSally,2018AZMcSally,-5,309.0,0,1,47.6,-4.106799945,1.0
2018,California,Research Co.,450,Dianne Feinstein,2018CAFeinstein,-6,211.0,1,0,54.2,10.76322564,1.0
2018,California,Research Co.,450,Kevin de León,2018CAde Leon,-6,126.0,1,0,45.8,10.76322564,1.0
2018,Michigan,Research Co.,450,Debbie Stabenow,2018MIStabenow,-6,234.0,1,0,52.3,0.110617903,1.0
2018,Michigan,Research Co.,450,John James,2018MIJames,-6,162.0,0,1,45.8,0.110617903,0.0
2018,Minnesota,Research Co.,450,Amy Klobuchar,2018MNKlobuchar,-6,238.0,1,0,60.3,1.11430914,1.0
2018,Minnesota,Research Co.,450,Jim Newberger,2018MNNewberger,-6,148.0,0,1,36.2,1.11430914,1.0
2018,New York,Research Co.,450,Kirsten E. Gillibrand,2018NYGillibrand,-6,270.0,1,0,67.0,9.796951795,1.0
2018,New York,Research Co.,450,Chele Farley,2018NYFarley,-6,144.0,0,1,33.0,9.796951795,0.0
2018,Pennsylvania,Research Co.,450,Robert P. Casey Jr.,2018PACasey,-6,252.0,1,0,55.7,0.390350973,1.0
2018,Pennsylvania,Research Co.,450,Lou Barletta,2018PABarletta,-6,175.0,0,1,42.6,0.390350973,1.0
2018,Arizona,Harris Insights & Analytics,600,Kyrsten Sinema,2018AZSinema,-6,273.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Harris Insights & Analytics,600,Martha McSally,2018AZMcSally,-6,286.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Harris Insights & Analytics,600,Bill Nelson,2018FLNelson,-6,272.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Harris Insights & Analytics,600,Rick Scott,2018FLScott,-6,282.0,0,1,50.1,-1.790610365,1.0
2018,Nevada,Harris Insights & Analytics,600,Jacky Rosen,2018NVRosen,-6,267.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Harris Insights & Analytics,600,Dean Heller,2018NVHeller,-6,278.0,0,1,45.4,0.039999588,1.0
2018,Indiana,Harris Insights & Analytics,600,Joe Donnelly,2018INDonnelly,-6,255.0,1,0,45.0,-8.112056678,1.0
2018,Indiana,Harris Insights & Analytics,600,Mike Braun,2018INBraun,-6,254.0,0,1,50.9,-8.112056678,1.0
2018,Missouri,Harris Insights & Analytics,600,Claire McCaskill,2018MOMcCaskill,-6,276.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Harris Insights & Analytics,600,Josh Hawley,2018MOHawley,-6,276.0,0,1,51.4,-6.881433406,1.0
2018,Arizona,Emerson College,758,Kyrsten Sinema,2018AZSinema,-6,367.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Emerson College,758,Martha McSally,2018AZMcSally,-6,362.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Emerson College,784,Bill Nelson,2018FLNelson,-6,391.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Emerson College,784,Rick Scott,2018FLScott,-6,352.0,0,1,50.1,-1.790610365,1.0
2018,Missouri,Emerson College,732,Claire McCaskill,2018MOMcCaskill,-6,333.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Emerson College,732,Josh Hawley,2018MOHawley,-6,358.0,0,1,51.4,-6.881433406,1.0
2018,Arizona,Research Co.,450,Kyrsten Sinema,2018AZSinema,-6,202.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Research Co.,450,Martha McSally,2018AZMcSally,-6,198.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Research Co.,450,Bill Nelson,2018FLNelson,-6,211.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Research Co.,450,Rick Scott,2018FLScott,-6,207.0,0,1,50.1,-1.790610365,1.0
2018,New Mexico,Research Co.,450,Martin Heinrich,2018NMHeinrich,-6,211.0,1,0,54.1,2.403798731,1.0
2018,New Mexico,Research Co.,450,Mick Rich,2018NMRich,-6,148.0,0,1,30.5,2.403798731,0.0
2018,New Mexico,Research Co.,450,Gary Johnson,2018NMJohnson,-6,49.0,0,0,15.4,2.403798731,1.0
2018,Ohio,Research Co.,450,Sherrod Brown,2018OHBrown,-6,238.0,1,0,53.4,-4.171365879,1.0
2018,Ohio,Research Co.,450,Jim Renacci,2018OHRenacci,-6,175.0,0,1,46.6,-4.171365879,1.0
2018,Wisconsin,Research Co.,450,Tammy Baldwin,2018WIBaldwin,-6,225.0,1,0,55.4,-1.482069759,1.0
2018,Wisconsin,Research Co.,450,Leah Vukmir,2018WIVukmir,-6,175.0,0,1,44.6,-1.482069759,1.0
2018,Montana,Harris Insights & Analytics,500,Jon Tester,2018MTTester,-8,246.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Harris Insights & Analytics,500,Matt Rosendale,2018MTRosendale,-8,215.0,0,1,46.8,-8.652566712,1.0
2018,Missouri,Remington Research Group,1424,Claire McCaskill,2018MOMcCaskill,-6,669.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Remington Research Group,1424,Josh Hawley,2018MOHawley,-6,669.0,0,1,51.4,-6.881433406,1.0
2018,Florida,St. Pete Polls,2733,Bill Nelson,2018FLNelson,-6,1298.0,1,0,49.9,-1.790610365,1.0
2018,Florida,St. Pete Polls,2733,Rick Scott,2018FLScott,-6,1341.0,0,1,50.1,-1.790610365,1.0
2018,California,SurveyUSA,806,Dianne Feinstein,2018CAFeinstein,-6,403.0,1,0,54.2,10.76322564,1.0
2018,California,SurveyUSA,806,Kevin de León,2018CAde Leon,-6,290.0,1,0,45.8,10.76322564,1.0
2018,Arizona,Harris Insights & Analytics,600,Kyrsten Sinema,2018AZSinema,-7,261.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Harris Insights & Analytics,600,Martha McSally,2018AZMcSally,-7,294.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Harris Insights & Analytics,600,Bill Nelson,2018FLNelson,-7,273.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Harris Insights & Analytics,600,Rick Scott,2018FLScott,-7,288.0,0,1,50.1,-1.790610365,1.0
2018,Nevada,Harris Insights & Analytics,600,Jacky Rosen,2018NVRosen,-7,266.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Harris Insights & Analytics,600,Dean Heller,2018NVHeller,-7,271.0,0,1,45.4,0.039999588,1.0
