Var1,cycle,state,Candidateidentifier,Percentage_of_Vote_won_x,samplesize,daysLeft,numberSupport,pollster,Republican,Democrat,pollsteridx
13486,2018,Michigan,2018MIStabenow,52.3,827,-2,405,"Mitchell Research & Communications",0,1,1
13487,2018,Michigan,2018MIJames,45.8,827,-2,380,"Mitchell Research & Communications",1,0,1
13488,2018,Florida,2018FLNelson,50.1,1484,-2,701,"Trafalgar Group",0,1,1
13489,2018,Florida,2018FLScott,49.9,1484,-2,727,"Trafalgar Group",1,0,1
13490,2018,Arizona,2018AZSinema,50,1217,-2,551,"Trafalgar Group",0,1,1
13491,2018,Arizona,2018AZMcSally,47.6,1217,-2,576,"Trafalgar Group",1,0,1
13492,2018,Texas,2018TXO'Rourke,48.3,2135,-2,922,"Trafalgar Group",0,1,1
13493,2018,Texas,2018TXCruz,50.9,2135,-2,1112,"Trafalgar Group",1,0,1
13494,2018,Arizona,2018AZSinema,50,600,-2,291,"Harris Insights & Analytics",0,1,1
13495,2018,Arizona,2018AZMcSally,47.6,600,-2,264,"Harris Insights & Analytics",1,0,1
13496,2018,Florida,2018FLNelson,50.1,600,-2,285,"Harris Insights & Analytics",0,1,1
13497,2018,Florida,2018FLScott,49.9,600,-2,289,"Harris Insights & Analytics",1,0,1
13498,2018,Nevada,2018NVRosen,50.4,600,-2,281,"Harris Insights & Analytics",0,1,1
13499,2018,Nevada,2018NVHeller,45.4,600,-2,267,"Harris Insights & Analytics",1,0,1
13500,2018,Indiana,2018INDonnelly,45,600,-2,250,"Harris Insights & Analytics",0,1,1
13501,2018,Indiana,2018INBraun,50.9,600,-2,257,"Harris Insights & Analytics",1,0,1
13502,2018,Missouri,2018MOMcCaskill,45.6,600,-2,268,"Harris Insights & Analytics",0,1,1
13503,2018,Missouri,2018MOHawley,51.4,600,-2,273,"Harris Insights & Analytics",1,0,1
13504,2018,Michigan,2018MIStabenow,52.3,1817,-2,959,"Trafalgar Group",0,1,1
13505,2018,Michigan,2018MIJames,45.8,1817,-2,795,"Trafalgar Group",1,0,1
13506,2018,Montana,2018MTTester,50.3,953,-2,477,"Trafalgar Group",0,1,1
13507,2018,Montana,2018MTRosendale,46.8,953,-2,466,"Trafalgar Group",1,0,1
13508,2018,Montana,2018MTTester,50.3,500,-2,249,"Harris Insights & Analytics",0,1,1
