cycle,state,Candidateidentifier,Percentage_of_Vote_won_x,samplesize,daysLeft,numberSupport,pollster,Republican,Democrat,pvi,experienced
1992,California,1992CAHerschensohn,43.00286776,700,-7,280,"KCAL-TV",1,0,2.089508493,0
1992,Illinois,1992ILWilliamson,43.05715208,1000,-17,320,"Market Shares Corp.",1,0,2.845729828,0
1992,Ohio,1992OHGlenn,50.88300143,1023,-29,562,"Gordon S. Black Corp.",0,1,-1.573305433,1
1992,North Carolina,1992NCFaircloth,50.34704726,854,-9,324,"Raleigh News & Observer",1,0,-4.257897135,0
1992,Missouri,1992MORothman-Serot,44.9257195,800,-66,328,"Hickman Analytics",0,1,1.90181394,0
1992,Arkansas,1992ARBumpers,60.17719411,826,-169,528,"Mason-Dixon Polling & Research Inc.",0,1,-3.295385279,1
1992,South Carolina,1992SCHartnett,46.94655713,800,-15,264,"Greenville News",1,0,-8.172851311,0
1992,Indiana,1992INHogsett,40.70441426,806,-58,225,"Mason-Dixon Polling & Research Inc.",0,1,-6.224373724,0
1992,Arizona,1992AZMecham,10.51777395,575,-31,63,"Behavior Research Center (Rocky Mountain)",0,0,-6.847567198,0
1992,Connecticut,1992CTDodd,58.81013574,630,-14,327,"Quinnipiac University",0,1,1.313478054,1
1992,North Dakota,1992NDSydness,38.87457765,410,-40,118,"KTHI-TV",1,0,-2.697757213,0
1992,Washington,1992WAChandler,46.00811609,601,-24,240,"Evans/McDonough",1,0,4.705227051,0
1992,Pennsylvania,1992PASpecter,49.10295039,800,-142,400,"Mason-Dixon Polling & Research Inc.",1,0,2.732595359,1
1992,Florida,1992FLGrant,34.59098521,813,-334,154,"Mason-Dixon Polling & Research Inc.",1,0,-7.351546057,0
1992,Maryland,1992MDKeyes,28.97745875,819,-256,294,"Mason-Dixon Polling & Research Inc.",1,0,2.43309313,0
1992,Pennsylvania,1992PAYeakel,46.33019671,600,-30,282,"Hickman Analytics",0,1,2.732595359,0
1992,Arizona,1992AZSargent,31.57054262,600,-35,162,"Public Opinion Strategies",0,1,-6.847567198,0
1992,CaliforniaS,1992CASeymour,37.96344771,1330,-54,492,"Los Angeles Times",1,0,2.089508493,0
1992,Colorado,1992COConsidine,42.70422582,375,-37,153,"Hill Research Consultants",1,0,-0.057461639,0
1992,Kansas,1992KSO'Dell,31.02897873,835,-43,200,"Kansas City Star",0,1,-2.827776264,0
1992,Missouri,1992MOBond,51.88704523,800,-22,384,"Kansas City Star",1,0,1.90181394,1
