cycle,state,pollster,samplesize,candidate_name,Candidateidentifier,daysLeft,numberSupport,Democrat,Republican,pvi,experienced,Percentage_of_Vote_won_x
1994,Hawaii,NA,1,Daniel Akaka,1994HIAkaka,1,0,1,0,8.7,1,71.8
1994,Hawaii,NA,1,Maria Hustace,1994HIHustace,1,0,0,1,8.7,0,24.2
1994,North Dakota,NA,1,Kent Conrad,1994NDConrad,1,0,1,0,-2.69,1,58
1994,North Dakota,NA,1,Ben Clayburgh,1994NDClayburgh,1,0,0,1,-2.69,0,42
1998,Alaska,NA,1,Frank Murkowski,1998AKMurkowski,1,0,0,1,-8.2654,1,74.5
1998,Alaska,NA,1,Joseph Sonneman,1998AKSonneman,1,0,1,0,-8.2654,0,19.7
1998,Arizona,NA,1,John McCain,1998AZMcCain,1,0,0,1,-4.75,1,68.7
1998,Arizona,NA,1,Ed Ranger,1998AZRanger,1,0,1,0,-4.75,0,27.2
1998,Hawaii,NA,1,Daniel Inouye,1998HIInouye,1,0,1,0,8.7,1,79.2
1998,Hawaii,NA,1,Crystal Young,1998HIYoung,1,0,0,1,8.7,0,17.8
1998,North Dakota,NA,1,Byron Dorgan,1998NDDorgan,1,0,1,0,-8.6411,1,63.2
1998,North Dakota,NA,1,Donna Nalewaja,1998NDNalewaja,1,0,0,1,-8.6411,1,35.2
2000,Hawaii,NA,1,Daniel Akaka,2000HIAkaka,1,0,1,0,8.7,1,72.7
2000,Hawaii,NA,1,John Carroll,2000HICarroll,1,0,0,1,8.7,1,24.5
2000,West Virginia,NA,1,Robert Byrd,2000WVByrd,1,0,1,0,4.3134,1,77.8
2000,West Virginia,NA,1,David Gallaher,2000WVGallaher,1,0,0,1,4.3134,0,20.2
2002,Delaware,NA,1,Joe Biden,2002DEBiden,1,0,1,0,3.8895,1,58.2
2002,Delaware,NA,1,Raymond Clatworthy,2002DEClatworthy,1,0,0,1,3.8895,0,40.8
2002,Kentucky,NA,1,Mitch McConnell,2002KYMcConnell,1,0,0,1,-7.9946,1,64.7
2002,Kentucky,NA,1,Lois Combs Weinberg,2002KYWeinberg,1,0,1,0,-7.9946,0,35.3
2002,West Virginia,NA,1,Jay Rockefeller,2002WVRockefeller,1,0,1,0,4.3134,1,63.1
2002,West Virginia,NA,1,Jay Wolfe,2002WVWolfe,1,0,0,1,4.3134,0,36.9
2002,Wyoming,NA,1,Joyce Corcoran,2002WYCorcoran,1,0,1,0,-12.215,1,27
2002,Wyoming,NA,1,Mike Enzi,2002WYEnzi,1,0,0,1,-12.215,1,73
2004,Alabama,NA,1,Richard Shelby,2004ALShelby,1,0,0,1,-7.8521,1,67.55
2004,Alabama,NA,1,Wayne Sowell,2004ALSowell,1,0,1,0,-7.8521,0,32.35
2004,Arizona,NA,1,John McCain,2004AZMcCain,1,0,0,1,-4.0298,1,76.7
2004,Arizona,NA,1,Stuart Starky,2004AZStarky,1,0,1,0,-4.0298,0,20.6
2004,Hawaii,NA,1,Daniel Inouye,2004HIInouye,1,0,1,0,8.7,1,75.5
