nominee
Gary C. Peters
Doug Jones
Tommy Tuberville
Dan Sullivan
Al Gross
Daniel McCarthy
Mark Kelly
Martha McSally
Tom Cotton
Ricky Harrington
Cory Gardner
John Hickenlooper
David A. Perdue
Jon Ossoff
Doug Collins
Matt Lieberman
Kelly Loeffler
Ed Tarver
Raphael Warnock
James E. Risch
Paulette E. Jordan
Dick Durbin
Mark Curran
Joni K. Ernst
Theresa Greenfield
Barbara Bollier
Roger Marshall
Mitch McConnell
Amy McGrath
Susan M. Collins
Sara Gideon
Edward J. Markey
Gary C. Peters
John James
Cindy Hyde-Smith
Mike Espy
Steve Daines
Steve Bullock
Ben Sasse
Chris Janicek
Jeanne Shaheen
Corky Messner
Cory A. Booker
Rik Mehta
Ben Ray Luján
Mark Ronchetti
Thom Tillis
Cal Cunningham
James M. Inhofe
Abby Broyles
Jeff Merkley
Jo Rae Perkins
Jack Reed
Allen Waters
Lindsey Graham
Jaime Harrison
Mike Rounds
Dan Ahlers
Bill Hagerty
John Cornyn
Mary Jennings Hegar
Mark R. Warner
Daniel M. Gade
Shelley Moore Capito
Paula Jean Swearengin
Marquita Bradshaw
Tina Smith
Jason Lewis
Kevin O'Connor
Chris Coons
Lauren Witzke
