state,pvi
Mississippi,-7.954178646
Michigan,0.110617903
Florida,-1.790610365
Arizona,-4.106799945
Texas,-7.023984994
Nevada,0.039999587999999996
Indiana,-8.112056678
Missouri,-6.881433406
Montana,-8.652566712
Pennsylvania,0.390350973
Wyoming,-20.207185
New Jersey,5.440680607000001
California,10.76322564
Minnesota,1.11430914
Ohio,-4.171365879
New York,9.796951795
New Mexico,2.4037987309999997
Wisconsin,-1.482069759
Connecticut,4.933092737
Vermont,11.29981845
West Virginia,-13.38955503
Tennessee,-14.12184488
North Dakota,-15.10961444
Maine,1.4148308680000001
Massachusetts,10.77644895
Nebraska,-12.89253173
Rhode Island,8.381222974
Washington,4.727850992
Utah,-16.22280025
Maryland,15.13676878
Delaware,5.995207379
Virginia,0.7271012379999999
