DISTRICT,INCUMBENT,PARTY,Raw_PVI,PVI
AL-01,Bradley Byrne,R,-15.24,R+15
AL-02,Martha Roby,R,-16.33,R+16
AL-03,Mike Rogers,R,-16.49,R+16
AL-04,Robert Aderholt,R,-30.5,R+30
AL-05,Mo Brooks,R,-17.57,R+18
AL-06,Gary Palmer,R,-25.59,R+26
AL-07,Terri Sewell,D,20.42,D+20
AK-AL,Don Young,R,-9.39,R+9
AZ-01,Tom O'Halleran,D,-2.46,R+2
AZ-02,Ann Kirkpatrick,D,-0.63,R+1
AZ-03,Raul Grijalva,D,12.57,D+13
AZ-04,Paul Gosar,R,-21.29,R+21
AZ-05,Andy Biggs,R,-14.57,R+15
AZ-06,David Schweikert,R,-9.43,R+9
AZ-07,Ruben Gallego,D,22.97,D+23
AZ-08,Debbie Lesko,R,-13.39,R+13
AZ-09,Greg Stanton,D,3.98,D+4
AR-01,Rick Crawford,R,-17.01,R+17
AR-02,French Hill,R,-7.41,R+7
AR-03,Steve Womack,R,-18.76,R+19
AR-04,Bruce Westerman,R,-16.77,R+17
CA-01,Doug LaMalfa,R,-11.04,R+11
CA-02,Jared Huffman,D,21.79,D+22
CA-03,John Garamendi,D,4.72,D+5
CA-04,Tom McClintock,R,-10.19,R+10
CA-05,Mike Thompson,D,21.35,D+21
CA-06,Doris Matsui,D,20.91,D+21
CA-07,Ami Bera,D,2.55,D+3
CA-08,Paul Cook,R,-9.13,R+9
CA-09,Jerry McNerney,D,7.89,D+8
CA-10,Josh Harder,D,0.19,EVEN
CA-11,Mark DeSaulnier,D,21.08,D+21
CA-12,Nancy Pelosi,D,37.42,D+37
CA-13,Barbara Lee,D,40.2,D+40
CA-14,Jackie Speier,D,26.85,D+27
CA-15,Eric Swalwell,D,20.37,D+20
CA-16,Jim Costa,D,9.09,D+9
CA-17,Ro Khanna,D,24.51,D+25
CA-18,Anna Eshoo,D,22.77,D+23
CA-19,Zoe Lofgren,D,23.51,D+24
CA-20,Jimmy Panetta,D,22.57,D+23
CA-21,T.J. Cox,D,5.39,D+5
CA-22,Devin Nunes,R,-7.86,R+8
CA-23,Kevin McCarthy,R,-13.89,R+14
CA-24,Salud Carbajal,D,6.71,D+7
CA-25,Katie Hill,D,-0.22,EVEN
CA-26,Julia Brownley,D,6.91,D+7
CA-27,Judy Chu,D,15.51,D+16
CA-28,Adam Schiff,D,22.94,D+23
CA-29,Tony Cardenas,D,29.06,D+29
CA-30,Brad Sherman,D,18.43,D+18
CA-31,Pete Aguilar,D,8.3,D+8
CA-32,Grace Napolitano,D,17.15,D+17
CA-33,Ted Lieu,D,15.54,D+16
CA-34,Jimmy Gomez,D,35.5,D+35
CA-35,Norma Torres,D,18.63,D+19
CA-36,Raul Ruiz,D,1.56,D+2
CA-37,Karen Bass,D,36.9,D+37
CA-38,Linda Sanchez,D,17.1,D+17
CA-39,Gil Cisneros,D,-0.19,EVEN
CA-40,Lucille Roybal-Allard,D,33.3,D+33
CA-41,Mark Takano,D,12.31,D+12
CA-42,Ken Calvert,R,-8.56,R+9
CA-43,Maxine Waters,D,29.48,D+29
CA-44,Nanette Barragan,D,35.1,D+35
CA-45,Katie Porter,D,-3.1,R+3
CA-46,Lou Correa,D,15.12,D+15
CA-47,Alan Lowenthal,D,12.68,D+13
CA-48,Harley Rouda,D,-4.07,R+4
